street,level,median_length,median_delay,median_speed_kmh,total_records,date
N14 Jenderal Sudirman,2,1233,71,24.74,7,7/6/2022
N14 Jenderal Sudirman,1,793,60.5,21.029999,4,7/6/2022
N14 Jenderal Sudirman,1,1319,88,23.12,11,7/6/2022
N14 Jenderal Sudirman,2,875,86,18.64,13,7/6/2022
N14 Jenderal Sudirman,2,1942,191,21.295,12,7/6/2022
N14 Jenderal Sudirman,1,1192,61,25.74,11,7/6/2022
N14 Jenderal Sudirman,2,1824,123,21.18,47,7/6/2022
N14 Jenderal Sudirman,3,704,165.5,10.695,12,7/6/2022
N14 Jenderal Sudirman,3,1824,325,12.04,11,7/6/2022
N14 Jenderal Sudirman,4,684,312,6.54,5,7/6/2022
N14 Jenderal Sudirman,1,1543,106,22.52,7,7/6/2022
N14 Jenderal Sudirman,2,1318,131,19.69,51,7/6/2022
N14 Jenderal Sudirman,1,1461,99,23.08,15,7/6/2022
N14 Jenderal Sudirman,2,717,90,19.255,28,7/6/2022
N14 Jenderal Sudirman,3,701,267,7.73,19,7/6/2022
N14 Jenderal Sudirman,4,717,343,6.28,15,7/6/2022
N14 Jenderal Sudirman,1,1325,60,29.68,1,7/6/2022
N14 Jenderal Sudirman,2,717,98,17.765,62,7/6/2022
N14 Jenderal Sudirman,3,946,262.5,9.99,56,7/6/2022
N14 Jenderal Sudirman,1,1322,74.5,23.939999,14,7/6/2022
N14 Jenderal Sudirman,2,1307,114,18.765,66,7/6/2022
N14 Jenderal Sudirman,3,1917,212,17.8,21,7/6/2022
N14 Jenderal Sudirman,4,440,214,6.49,13,7/6/2022
N14 Jenderal Sudirman,1,1325,65,28.89,8,7/6/2022
N14 Jenderal Sudirman,2,1021,145,18.15,28,7/6/2022
N14 Jenderal Sudirman,3,704,156,10.86,46,7/6/2022
N14 Jenderal Sudirman,4,946,494,5.69,25,7/6/2022
N14 Jenderal Sudirman,2,1975,139,20.11,31,7/6/2022
N14 Jenderal Sudirman,3,737,184,10.31,39,7/6/2022
N14 Jenderal Sudirman,4,946,568,5.355,22,7/6/2022
N14 Jenderal Sudirman,1,1295.5,72,24.22,14,7/6/2022
N14 Jenderal Sudirman,2,979,119,20.63,63,7/6/2022
N14 Jenderal Sudirman,3,807,162,12.42,35,7/6/2022
N14 Jenderal Sudirman,1,1192,90,22.605,18,7/6/2022
N14 Jenderal Sudirman,2,1613,136.5,20.74,50,7/6/2022
N14 Jenderal Sudirman,3,1536,304,15.02,41,7/6/2022
N14 Jenderal Sudirman,1,1477,80,24.7,31,7/6/2022
N14 Jenderal Sudirman,2,946,104,19.79,33,7/6/2022
N14 Jenderal Sudirman,2,1263,80,21.18,33,7/6/2022
N14 Jenderal Sudirman,3,1879,473.5,12.91,12,7/6/2022
N14 Jenderal Sudirman,1,1319,75,24.655,20,7/6/2022
N14 Jenderal Sudirman,2,1208,114,19.08,11,7/6/2022
N14 Jenderal Sudirman,3,639,112,13.73,9,7/6/2022
N14 Jenderal Sudirman,1,946,63,23.355,2,7/6/2022
N14 Jenderal Sudirman,2,982,104,17.875,14,7/6/2022
N14 Jenderal Sudirman,1,1382,75,23.31,9,7/7/2022
N14 Jenderal Sudirman,2,2005,127.5,23.165,32,7/7/2022
N14 Jenderal Sudirman,1,1017,84.5,20.465,2,7/7/2022
N14 Jenderal Sudirman,2,1200,129,20.279999,50,7/7/2022
N14 Jenderal Sudirman,3,717,226,10.02,22,7/7/2022
N14 Jenderal Sudirman,1,1192,100,20.56,2,7/7/2022
N14 Jenderal Sudirman,2,1192,125,18.62,24,7/7/2022
N14 Jenderal Sudirman,3,982,209.5,11.585,28,7/7/2022
N14 Jenderal Sudirman,1,1192,67,26.005001,18,7/7/2022
N14 Jenderal Sudirman,2,1267,167,16.68,44,7/7/2022
N14 Jenderal Sudirman,3,1967.5,341.5,14.2699995,2,7/7/2022
N14 Jenderal Sudirman,1,1319,92,22.68,9,7/7/2022
N14 Jenderal Sudirman,2,2643,159,21.945,52,7/7/2022
N14 Jenderal Sudirman,3,946,285,8.81,33,7/7/2022
N14 Jenderal Sudirman,1,1477,84.5,22.65,14,7/7/2022
N14 Jenderal Sudirman,2,1917,112,23.12,47,7/7/2022
N14 Jenderal Sudirman,3,946,199.5,10.995001,28,7/7/2022
N14 Jenderal Sudirman,1,2018,105,28.05,21,7/7/2022
N14 Jenderal Sudirman,2,1536,153.5,18.61,28,7/7/2022
N14 Jenderal Sudirman,3,701,148,12.15,24,7/7/2022
N14 Jenderal Sudirman,1,1135.5,62,22.470001,8,7/7/2022
N14 Jenderal Sudirman,2,1451,112,22.43,73,7/7/2022
N14 Jenderal Sudirman,3,982,214,11.45,33,7/7/2022
N14 Jenderal Sudirman,1,946,77,20.89,6,7/7/2022
N14 Jenderal Sudirman,2,1536,148,17.375,74,7/7/2022
N14 Jenderal Sudirman,3,704,154,11.42,15,7/7/2022
N14 Jenderal Sudirman,1,946,75,20.9,5,7/7/2022
N14 Jenderal Sudirman,2,1451,132,18.96,47,7/7/2022
N14 Jenderal Sudirman,3,962,208,12.66,50,7/7/2022
N14 Jenderal Sudirman,1,1794.5,98.5,24.66,4,7/7/2022
N14 Jenderal Sudirman,2,1394,109,18.48,33,7/7/2022
N14 Jenderal Sudirman,3,1307,216,12.76,53,7/7/2022
N14 Jenderal Sudirman,4,227,119.5,5.87,4,7/7/2022
N14 Jenderal Sudirman,1,1975,96,27.6,11,7/7/2022
N14 Jenderal Sudirman,2,2643,137,26.27,35,7/7/2022
N14 Jenderal Sudirman,1,1325,73.5,27.66,30,7/7/2022
N14 Jenderal Sudirman,2,1433,116,20.195,10,7/7/2022
N14 Jenderal Sudirman,3,1335,341,10.43,3,7/7/2022
N14 Jenderal Sudirman,2,1901,86,27.380001,6,7/7/2022
N14 Jenderal Sudirman,1,1681,81.5,27.055,14,7/7/2022
N14 Jenderal Sudirman,4,279,438,2.18,13,7/7/2022
N14 Jenderal Sudirman,1,1208,69,23.975,8,7/8/2022
N14 Jenderal Sudirman,2,979,64,24.93,9,7/8/2022
N14 Jenderal Sudirman,3,684,209,9.27,9,7/8/2022
N14 Jenderal Sudirman,1,1536,89.5,24.009998,12,7/8/2022
N14 Jenderal Sudirman,1,1192,85,22.07,3,7/8/2022
N14 Jenderal Sudirman,2,1228,118,18.27,23,7/8/2022
N14 Jenderal Sudirman,1,1461,95,23.78,17,7/8/2022
N14 Jenderal Sudirman,2,962,150.5,16.76,40,7/8/2022
N14 Jenderal Sudirman,3,962,177,12.9,3,7/8/2022
N14 Jenderal Sudirman,1,1325,66,28.66,8,7/8/2022
N14 Jenderal Sudirman,2,1321,119,20.685,32,7/8/2022
N14 Jenderal Sudirman,3,1017,249,10.85,59,7/8/2022
N14 Jenderal Sudirman,4,772,347,6.28,3,7/8/2022
N14 Jenderal Sudirman,1,1461,87,23.97,17,7/8/2022
N14 Jenderal Sudirman,2,1394,138,18.779999,48,7/8/2022
N14 Jenderal Sudirman,3,1192,278,11.39,39,7/8/2022
N14 Jenderal Sudirman,4,668,297,6.705,2,7/8/2022
N14 Jenderal Sudirman,1,1461,84,22.56,13,7/8/2022
N14 Jenderal Sudirman,2,743,81,17.48,11,7/8/2022
N14 Jenderal Sudirman,3,583,98,14.43,1,7/8/2022
N14 Jenderal Sudirman,1,1477,106,22.34,7,7/8/2022
N14 Jenderal Sudirman,2,1824,137,19.48,61,7/8/2022
N14 Jenderal Sudirman,3,946,323,8.92,61,7/8/2022
N14 Jenderal Sudirman,4,739,339,6.22,1,7/8/2022
N14 Jenderal Sudirman,1,1325,72,27.66,4,7/8/2022
N14 Jenderal Sudirman,2,866,94.5,18.4,30,7/8/2022
N14 Jenderal Sudirman,3,1867.5,423,11.865,90,7/8/2022
N14 Jenderal Sudirman,4,954,637,5.98,28,7/8/2022
N14 Jenderal Sudirman,1,1451,61,29.98,7,7/8/2022
N14 Jenderal Sudirman,2,866,81,19.68,40,7/8/2022
N14 Jenderal Sudirman,3,1249.5,442,8.43,54,7/8/2022
N14 Jenderal Sudirman,4,776,468,5.625,40,7/8/2022
N14 Jenderal Sudirman,1,1325,68,28.46,14,7/8/2022
N14 Jenderal Sudirman,2,875,99,19.064999,112,7/8/2022
N14 Jenderal Sudirman,3,1192,265,13.34,67,7/8/2022
N14 Jenderal Sudirman,1,1696.5,80.5,28.23,8,7/8/2022
N14 Jenderal Sudirman,2,866,92.5,18.904999,16,7/8/2022
N14 Jenderal Sudirman,3,866,202,11.59,75,7/8/2022
N14 Jenderal Sudirman,2,701,83,17.24,43,7/8/2022
N14 Jenderal Sudirman,3,1192,232,11.05,69,7/8/2022
N14 Jenderal Sudirman,4,1192,639.5,5.76,14,7/8/2022
N14 Jenderal Sudirman,1,982,74.5,21.3,4,7/8/2022
N14 Jenderal Sudirman,2,793,80,19.125,72,7/8/2022
N14 Jenderal Sudirman,3,700,93,16.96,17,7/8/2022
N14 Jenderal Sudirman,4,628,273,6.61,19,7/8/2022
N14 Jenderal Sudirman,1,1249.5,87,23.455,34,7/8/2022
N14 Jenderal Sudirman,2,1319,122.5,19.015,22,7/8/2022
N14 Jenderal Sudirman,1,1307,68,25.57,11,7/8/2022
N14 Jenderal Sudirman,2,1307,115,20.365,2,7/8/2022
N14 Jenderal Sudirman,1,946,70,22.09,2,7/8/2022
N14 Jenderal Sudirman,2,946,71,21.955,4,7/8/2022
N14 Jenderal Sudirman,2,1220,71,24.724998,2,7/8/2022
N14 Jenderal Sudirman,1,1318,66,25.24,8,7/8/2022
N14 Jenderal Sudirman,3,618,110,13.66,2,7/9/2022
N14 Jenderal Sudirman,2,1319,149.5,17.83,10,7/9/2022
N14 Jenderal Sudirman,2,760,96,16.83,11,7/9/2022
N14 Jenderal Sudirman,1,1461,103,22.02,13,7/9/2022
N14 Jenderal Sudirman,3,700,101,15.875,10,7/9/2022
N14 Jenderal Sudirman,1,1192,90.5,21.494999,2,7/9/2022
N14 Jenderal Sudirman,2,1228,122,19.3,43,7/9/2022
N14 Jenderal Sudirman,2,1394,172,16.98,40,7/9/2022
N14 Jenderal Sudirman,3,1228,292,12.335,70,7/9/2022
N14 Jenderal Sudirman,1,1536,64,27.115,4,7/9/2022
N14 Jenderal Sudirman,2,1461,147,19.255001,40,7/9/2022
N14 Jenderal Sudirman,3,1901,301.5,14.145,48,7/9/2022
N14 Jenderal Sudirman,1,1192,98,20.74,11,7/9/2022
N14 Jenderal Sudirman,2,1394,157,19.11,52,7/9/2022
N14 Jenderal Sudirman,3,1477,256,13.41,57,7/9/2022
N14 Jenderal Sudirman,1,1192,94.5,21.07,4,7/9/2022
N14 Jenderal Sudirman,2,1200,137.5,16.255001,70,7/9/2022
N14 Jenderal Sudirman,3,1840,267.5,13.64,48,7/9/2022
N14 Jenderal Sudirman,1,1379,76,23.56,8,7/9/2022
N14 Jenderal Sudirman,2,1618,170.5,20.07,70,7/9/2022
N14 Jenderal Sudirman,3,1477,341,11.32,53,7/9/2022
N14 Jenderal Sudirman,1,1325,70,28.03,5,7/9/2022
N14 Jenderal Sudirman,2,1192,142,17.185,60,7/9/2022
N14 Jenderal Sudirman,3,982,238,12.27,83,7/9/2022
N14 Jenderal Sudirman,2,1192,142,18.08,85,7/9/2022
N14 Jenderal Sudirman,3,1208,275,13.99,51,7/9/2022
N14 Jenderal Sudirman,1,743,60,20.28,3,7/9/2022
N14 Jenderal Sudirman,3,1559,261,13.63,33,7/9/2022
N14 Jenderal Sudirman,1,1323,90,22.67,11,7/9/2022
N14 Jenderal Sudirman,2,1559,164,20.74,53,7/9/2022
N14 Jenderal Sudirman,1,1192,67,25.05,27,7/9/2022
N14 Jenderal Sudirman,2,2643,135,24.74,43,7/9/2022
N14 Jenderal Sudirman,1,1461,72,24.41,28,7/9/2022
N14 Jenderal Sudirman,2,1942,107.5,26.055,70,7/9/2022
N14 Jenderal Sudirman,1,1469,79,24.67,26,7/9/2022
N14 Jenderal Sudirman,2,1901,134,22.244999,36,7/9/2022
N14 Jenderal Sudirman,1,1323,88.5,22.835,14,7/9/2022
N14 Jenderal Sudirman,2,1319,167,16.74,4,7/9/2022
N14 Jenderal Sudirman,2,701,61,20.05,3,7/10/2022
N14 Jenderal Sudirman,1,1307,75,22.16,35,7/10/2022
N14 Jenderal Sudirman,2,1547.5,120.5,21.54,12,7/10/2022
N14 Jenderal Sudirman,1,946,62,23.21,2,7/10/2022
N14 Jenderal Sudirman,2,1543,138.5,20.11,2,7/10/2022
N14 Jenderal Sudirman,2,737,94,18.07,15,7/10/2022
N14 Jenderal Sudirman,3,461,112,10.66,3,7/10/2022
N14 Jenderal Sudirman,2,1350,94.5,18.93,42,7/10/2022
N14 Jenderal Sudirman,1,1477,74,25.22,29,7/10/2022
N14 Jenderal Sudirman,1,1536,90,23.8,29,7/10/2022
N14 Jenderal Sudirman,2,1543,109.5,19.995,48,7/10/2022
N14 Jenderal Sudirman,4,225,105,6.38,2,7/10/2022
N14 Jenderal Sudirman,1,1461,77,23.675,8,7/10/2022
N14 Jenderal Sudirman,2,651,66,19.19,10,7/10/2022
N14 Jenderal Sudirman,3,651,144.5,11.645,8,7/10/2022
N14 Jenderal Sudirman,1,1543,101,22.95,26,7/10/2022
N14 Jenderal Sudirman,2,1543,129,18.33,26,7/10/2022
N14 Jenderal Sudirman,1,1461,96,23.28,13,7/10/2022
N14 Jenderal Sudirman,2,1394,119.5,19.060001,50,7/10/2022
N14 Jenderal Sudirman,1,1192,80,22.62,11,7/10/2022
N14 Jenderal Sudirman,2,962,105,16.535,8,7/10/2022
N14 Jenderal Sudirman,1,1319,74.5,24.25,16,7/10/2022
N14 Jenderal Sudirman,2,1976,153.5,21.735,20,7/10/2022
N14 Jenderal Sudirman,1,1307,68.5,25.525002,18,7/10/2022
N14 Jenderal Sudirman,2,1323,119,20.15,7,7/10/2022
N14 Jenderal Sudirman,1,1382,75.5,24.725,8,7/10/2022
N14 Jenderal Sudirman,2,717,73,18.48,12,7/10/2022
N14 Jenderal Sudirman,2,701,69,18.88,1,7/10/2022
N14 Jenderal Sudirman,2,760,61,21.57,7,7/11/2022
N14 Jenderal Sudirman,2,748.5,102.5,20.915,24,7/11/2022
N14 Jenderal Sudirman,1,1321,80,24.215,4,7/11/2022
N14 Jenderal Sudirman,1,1469,78.5,23.64,26,7/11/2022
N14 Jenderal Sudirman,2,651,66,19.24,5,7/11/2022
N14 Jenderal Sudirman,1,1192,83,22.35,23,7/11/2022
N14 Jenderal Sudirman,2,1325,113,22.73,25,7/11/2022
N14 Jenderal Sudirman,3,704,160,10.98,5,7/11/2022
N14 Jenderal Sudirman,3,772,130,12.62,4,7/11/2022
N14 Jenderal Sudirman,1,1096,83,22.395,4,7/11/2022
N14 Jenderal Sudirman,2,1208,132.5,17.73,128,7/11/2022
N14 Jenderal Sudirman,1,1975,87,28.99,8,7/11/2022
N14 Jenderal Sudirman,2,1394,140,19.2,54,7/11/2022
N14 Jenderal Sudirman,3,946,273,9.44,40,7/11/2022
N14 Jenderal Sudirman,4,737,457.5,4.98,14,7/11/2022
N14 Jenderal Sudirman,1,1559,91,24.33,9,7/11/2022
N14 Jenderal Sudirman,2,1900,131.5,21.175,86,7/11/2022
N14 Jenderal Sudirman,3,1840,265,13.65,29,7/11/2022
N14 Jenderal Sudirman,2,962,136.5,18.76,36,7/11/2022
N14 Jenderal Sudirman,3,946,235,12.42,41,7/11/2022
N14 Jenderal Sudirman,4,962,440,5.97,25,7/11/2022
N14 Jenderal Sudirman,1,1325,72.5,27.619999,2,7/11/2022
N14 Jenderal Sudirman,2,1325,142.5,16.765,32,7/11/2022
N14 Jenderal Sudirman,3,1319,287,12.36,49,7/11/2022
N14 Jenderal Sudirman,1,1325,63,29.19,2,7/11/2022
N14 Jenderal Sudirman,2,1461,163,18.73,63,7/11/2022
N14 Jenderal Sudirman,3,709,237,10.61,33,7/11/2022
N14 Jenderal Sudirman,1,1326.5,107,20.835,2,7/11/2022
N14 Jenderal Sudirman,2,1021,130,18.47,47,7/11/2022
N14 Jenderal Sudirman,3,962,241,12.67,49,7/11/2022
N14 Jenderal Sudirman,1,962,70,22.22,19,7/11/2022
N14 Jenderal Sudirman,2,1317,118,18.84,69,7/11/2022
N14 Jenderal Sudirman,3,1543,257,13.98,11,7/11/2022
N14 Jenderal Sudirman,2,1192,112,19.49,23,7/11/2022
N14 Jenderal Sudirman,1,1394,87,23.27,25,7/11/2022
N14 Jenderal Sudirman,1,1479,84.5,22.59,26,7/11/2022
N14 Jenderal Sudirman,2,668,94.5,15.825001,18,7/11/2022
N14 Jenderal Sudirman,3,737,130,12.95,1,7/11/2022
N14 Jenderal Sudirman,1,1461,89,23.18,34,7/11/2022
N14 Jenderal Sudirman,2,962,87,19.73,21,7/11/2022
N14 Jenderal Sudirman,1,1323,69.5,25.865,16,7/11/2022
N14 Jenderal Sudirman,1,1192,79,23,9,7/12/2022
N14 Jenderal Sudirman,1,946,70.5,22.169998,2,7/12/2022
N14 Jenderal Sudirman,2,962,133,17.26,31,7/12/2022
N14 Jenderal Sudirman,2,946,129,19.17,23,7/12/2022
N14 Jenderal Sudirman,4,245,149.5,5.175,2,7/12/2022
N14 Jenderal Sudirman,1,1192,86,20.689999,14,7/12/2022
N14 Jenderal Sudirman,2,1543,163.5,19.75,34,7/12/2022
N14 Jenderal Sudirman,3,704,153,11.29,2,7/12/2022
N14 Jenderal Sudirman,1,1451,72,28.18,3,7/12/2022
N14 Jenderal Sudirman,2,1350,161,19.88,9,7/12/2022
N14 Jenderal Sudirman,3,1543,479,9.59,29,7/12/2022
N14 Jenderal Sudirman,4,668,408.5,5.1099997,4,7/12/2022
N14 Jenderal Sudirman,1,701,60,20.27,4,7/12/2022
N14 Jenderal Sudirman,2,701,87.5,16.55,36,7/12/2022
N14 Jenderal Sudirman,3,946,372.5,7.53,24,7/12/2022
N14 Jenderal Sudirman,4,668,311,6.46,1,7/12/2022
N14 Jenderal Sudirman,1,946,72.5,22.654999,4,7/12/2022
N14 Jenderal Sudirman,2,717,109,17.81,57,7/12/2022
N14 Jenderal Sudirman,3,1579,274,13.315001,16,7/12/2022
N14 Jenderal Sudirman,4,225,111.5,6.0550003,10,7/12/2022
N14 Jenderal Sudirman,1,1192,78,22.62,27,7/12/2022
N14 Jenderal Sudirman,2,1192,120,19.195,56,7/12/2022
N14 Jenderal Sudirman,3,583,118.5,12.35,18,7/12/2022
N14 Jenderal Sudirman,2,1325,133,19.92,63,7/12/2022
N14 Jenderal Sudirman,3,583,134,11.55,29,7/12/2022
N14 Jenderal Sudirman,4,668,342,6.05,21,7/12/2022
N14 Jenderal Sudirman,1,946,65,22.785,10,7/12/2022
N14 Jenderal Sudirman,2,1394,170,17.41,43,7/12/2022
N14 Jenderal Sudirman,3,946,282,11.85,41,7/12/2022
N14 Jenderal Sudirman,4,684.5,309.5,6.6099997,2,7/12/2022
N14 Jenderal Sudirman,1,1942,91.5,28.285,10,7/12/2022
N14 Jenderal Sudirman,2,2018,145,22.54,17,7/12/2022
N14 Jenderal Sudirman,3,946,176.5,13.219999,22,7/12/2022
N14 Jenderal Sudirman,1,1307,70,23.21,21,7/12/2022
N14 Jenderal Sudirman,2,982,116,17.59,36,7/12/2022
N14 Jenderal Sudirman,3,962,237,10.855,16,7/12/2022
N14 Jenderal Sudirman,1,962,63,22.83,3,7/12/2022
N14 Jenderal Sudirman,2,1461,129,19.76,47,7/12/2022
N14 Jenderal Sudirman,3,1975,288,15.95,9,7/12/2022
N14 Jenderal Sudirman,1,1325,82,27.83,27,7/12/2022
N14 Jenderal Sudirman,2,979,86,21.099998,16,7/12/2022
N14 Jenderal Sudirman,1,946,62.5,23.244999,8,7/12/2022
N14 Jenderal Sudirman,2,2018,125,18.385,24,7/12/2022
N14 Jenderal Sudirman,3,668,150,11.5,3,7/12/2022
N14 Jenderal Sudirman,2,481,75,13.95,1,7/12/2022
N14 Jenderal Sudirman,2,481,73.5,14.094999,10,7/12/2022
N14 Jenderal Sudirman,2,2018,114.5,25.02,12,7/13/2022
N14 Jenderal Sudirman,2,1208,118,17.77,23,7/13/2022
N14 Jenderal Sudirman,1,1461,87.5,24.189999,10,7/13/2022
N14 Jenderal Sudirman,2,982,156.5,14.215,8,7/13/2022
N14 Jenderal Sudirman,3,720.5,131,12.700001,2,7/13/2022
N14 Jenderal Sudirman,1,962,67,22.92,1,7/13/2022
N14 Jenderal Sudirman,2,1461,120,19.735,74,7/13/2022
N14 Jenderal Sudirman,3,2333,307,16.16,12,7/13/2022
N14 Jenderal Sudirman,1,1192,71.5,27.645,18,7/13/2022
N14 Jenderal Sudirman,2,946,132,16.51,39,7/13/2022
N14 Jenderal Sudirman,3,704,192,9.62,4,7/13/2022
N14 Jenderal Sudirman,2,1382,152,18.72,37,7/13/2022
N14 Jenderal Sudirman,3,946,288,9.07,29,7/13/2022
N14 Jenderal Sudirman,4,755.5,361,6.125,14,7/13/2022
N14 Jenderal Sudirman,1,1477,82,25.22,7,7/13/2022
N14 Jenderal Sudirman,2,1325,88,20.36,61,7/13/2022
N14 Jenderal Sudirman,3,737,192,10.335,26,7/13/2022
N14 Jenderal Sudirman,4,668,310,6.4750004,6,7/13/2022
N14 Jenderal Sudirman,1,1319,81.5,23.925,4,7/13/2022
N14 Jenderal Sudirman,2,946,109,18.04,31,7/13/2022
N14 Jenderal Sudirman,3,1497,271.5,13.094999,24,7/13/2022
N14 Jenderal Sudirman,3,723,232.5,10.285,18,7/13/2022
N14 Jenderal Sudirman,2,1899,167,20.75,53,7/13/2022
N14 Jenderal Sudirman,4,704,391,5.48,9,7/13/2022
N14 Jenderal Sudirman,1,1325,60,29.76,5,7/13/2022
N14 Jenderal Sudirman,2,1335,137,19.17,56,7/13/2022
N14 Jenderal Sudirman,3,962,353,8.56,49,7/13/2022
N14 Jenderal Sudirman,4,839.5,387,6.625,8,7/13/2022
N14 Jenderal Sudirman,3,755.5,120,13.29,14,7/13/2022
N14 Jenderal Sudirman,2,1192,156,18.11,84,7/13/2022
N14 Jenderal Sudirman,1,1325,60,29.69,3,7/13/2022
N14 Jenderal Sudirman,2,1208,132.5,18.215,72,7/13/2022
N14 Jenderal Sudirman,3,962,196,12.49,8,7/13/2022
N14 Jenderal Sudirman,1,946,64,22.94,13,7/13/2022
N14 Jenderal Sudirman,2,1382,106,22.39,61,7/13/2022
